iter	Passed	Remaining
730	10550	3882
731	10565	3868
732	10579	3853
733	10593	3839
734	10608	3824
735	10623	3810
736	10636	3795
737	10650	3781
738	10666	3767
739	10680	3752
740	10695	3738
741	10711	3724
742	10726	3710
743	10742	3696
744	10756	3681
745	10769	3666
746	10782	3651
747	10795	3636
748	10808	3622
749	10821	3607
750	10834	3592
751	10847	3577
752	10861	3562
753	10874	3548
754	10888	3533
755	10902	3518
756	10916	3504
757	10931	3489
758	10943	3474
759	10956	3459
760	10970	3445
761	10983	3430
762	10996	3415
763	11009	3400
764	11023	3386
765	11037	3371
766	11051	3357
767	11065	3342
768	11078	3327
769	11091	3312
770	11104	3298
771	11117	3283
772	11131	3268
773	11144	3254
774	11158	3239
775	11172	3224
776	11185	3210
777	11198	3195
778	11212	3180
779	11224	3166
780	11237	3151
781	11252	3136
782	11265	3122
783	11278	3107
784	11292	3092
785	11305	3078
786	11318	3063
787	11336	3049
788	11351	3035
789	11364	3021
790	11378	3006
791	11392	2991
792	11404	2977
793	11417	2962
794	11436	2949
795	11457	2936
796	11469	2921
797	11483	2906
798	11497	2892
799	11510	2877
800	11523	2862
801	11536	2848
802	11549	2833
803	11562	2818
804	11575	2803
805	11589	2789
806	11601	2774
807	11614	2759
808	11627	2745
809	11641	2730
810	11655	2716
811	11669	2701
812	11682	2687
813	11695	2672
814	11707	2657
815	11720	2642
816	11734	2628
817	11748	2613
818	11763	2599
819	11777	2585
820	11790	2570
821	11804	2556
822	11816	2541
823	11829	2526
824	11843	2512
825	11856	2497
826	11870	2483
827	11884	2468
828	11897	2454
829	11910	2439
830	11923	2424
831	11936	2410
832	11950	2395
833	11964	2381
834	11978	2366
835	11991	2352
836	12005	2338
837	12020	2323
838	12034	2309
839	12048	2294
840	12060	2280
841	12073	2265
842	12091	2251
843	12105	2237
844	12118	2222
845	12133	2208
846	12149	2194
847	12169	2181
848	12184	2167
849	12198	2152
850	12211	2138
851	12226	2123
852	12239	2109
853	12253	2094
854	12267	2080
855	12281	2066
856	12301	2052
857	12318	2038
858	12334	2024
859	12348	2010
860	12362	1995
861	12377	1981
862	12392	1967
863	12408	1953
864	12423	1939
865	12439	1924
866	12452	1910
867	12466	1895
868	12480	1881
869	12495	1867
870	12512	1853
871	12526	1838
872	12540	1824
873	12553	1809
874	12572	1796
875	12585	1781
876	12598	1767
877	12613	1752
878	12627	1738
879	12640	1723
880	12653	1709
881	12666	1694
882	12678	1679
883	12691	1665
884	12706	1651
885	12717	1636
886	12735	1622
887	12748	1607
888	12762	1593
889	12776	1579
890	12791	1564
891	12805	1550
892	12822	1536
893	12836	1522
894	12850	1507
895	12864	1493
896	12878	1478
897	12892	1464
898	12907	1450
899	12922	1435
900	12939	1421
901	12957	1407
902	12982	1394
903	12995	1380
904	13011	1365
905	13025	1351
906	13044	1337
907	13058	1323
908	13072	1308
909	13087	1294
910	13101	1279
911	13115	1265
912	13130	1251
913	13144	1236
914	13157	1222
915	13174	1208
916	13188	1193
917	13202	1179
918	13215	1164
919	13231	1150
920	13248	1136
921	13263	1122
922	13276	1107
923	13289	1093
924	13303	1078
925	13317	1064
926	13330	1049
927	13344	1035
928	13357	1020
929	13373	1006
930	13386	992
931	13399	977
932	13413	963
933	13426	948
934	13441	934
935	13455	920
936	13468	905
937	13481	891
938	13495	876
939	13508	862
940	13522	847
941	13535	833
942	13549	819
943	13564	804
944	13577	790
945	13591	775
946	13604	761
947	13618	747
948	13631	732
949	13645	718
950	13660	703
951	13674	689
952	13687	675
953	13701	660
954	13714	646
955	13727	631
956	13741	617
957	13755	603
958	13769	588
959	13782	574
960	13795	559
961	13811	545
962	13823	531
963	13837	516
964	13850	502
965	13863	487
966	13877	473
967	13890	459
968	13904	444
969	13916	430
970	13930	416
971	13943	401
972	13956	387
973	13970	372
974	13984	358
975	13998	344
976	14011	329
977	14023	315
978	14036	301
979	14050	286
980	14064	272
981	14077	258
982	14090	243
983	14103	229
984	14116	214
985	14130	200
986	14143	186
987	14156	171
988	14170	157
989	14183	143
990	14198	128
991	14215	114
992	14228	100
993	14242	85
994	14255	71
995	14269	57
996	14282	42
997	14296	28
998	14309	14
999	14322	0
